CODE,NAME,SHORTNAME,STATUS,LOGO
425,BANK BJB SYARIAH,BJB_SYR,1,local/bank-bjb-syariah.svg
426,BANK MEGA,MEGA,1,private/mega.svg
441,BANK BUKOPIN,BUKOPIN,1,private/kb-bukopin.svg
451,BANK SYARIAH INDONESIA,BSI,1,private/bsi.svg
459,BANK BISNIS INTERNATIONAL,BISNIS,1,bank-default.svg
466,BANK OKE,OKE,1,private/ok-bank.svg
472,BANK JASA JAKARTA,JASA_JAKARTA,1,private/bank-jasa-jakarta.svg
484,BANK HANA,HANA,1,private/keb-hana-bank.svg
485,BANK MNC INTERNATIONAL,MNC_INTERNASIONAL,1,bank-default.svg
490,BANK YUDHA BHAKTI,YUDHA_BHAKTI,1,bank-default.svg
494,BANK AGRONIAGA,AGRONIAGA,1,bank-default.svg
498,BANK SBI INDONESIA,SBI_INDONESIA,1,private/sbi-indonesia.svg
501,BANK ROYAL INDONESIA,ROYAL,1,bank-default.svg
503,BANK NATIONALNOBU,NATIONALNOBU,1,private/nobu.svg
506,BANK SYARIAH MEGA,MEGA_SYR,1,private/mega-syariah.svg
513,BANK INA PERDANA,INA_PERDANA,1,private/bank-ina.svg
517,BANK PANIN SYARIAH,PANIN_SYR,1,private/panin-dubai-syariah.svg
520,PRIMA MASTER BANK,PRIMA_MASTER,1,private/prima-bank.svg
521,BANK SYARIAH BUKOPIN,BUKOPIN_SYR,1,private/kb-bukopin-syariah.svg
523,BANK SAHABAT SAMPOERNA,SAHABAT_SAMPOERNA,1,private/bank-sahabat-sampoerna.svg
526,BANK DINAR INDONESIA,DINAR_INDONESIA,1,bank-default.svg
531,ANGLOMAS INTERNATIONAL BANK,ANGLOMAS,1,bank-default.svg
536,BANK CENTRAL ASIA (BCA) SYARIAH,BCA_SYR,1,private/bca-syariah.svg
542,BANK ARTOS INDONESIA,ARTOS,1,bank-default.svg
547,BANK SAHABAT PURBA DANARTA,SAHABAT_PURBA_DANARTA,1,bank-default.svg
548,BANK MULTI ARTA SENTOSA,MULTI_ARTA_SENTOSA,1,bank-default.svg
553,BANK MAYORA,MAYORA,1,private/bank-mayora.svg
555,BANK INDEX SELINDO,INDEX_SELINDO,1,private/bank-index-selindo.svg
558,BANK EKSEKUTIF INTERNASIONAL,PUNDI_INDONESIA,1,bank-default.svg
559,CENTRATAMA NASIONAL BANK,CENTRATAMA,1,bank-default.svg
562,BANK FAMA INTERNATIONAL,FAMA,1,bank-default.svg
564,BANK SINAR HARAPAN BALI,SINAR_HARAPAN_BALI,1,bank-default.svg
566,BANK VICTORIA INTERNATIONAL,VICTORIA_INTERNASIONAL,1,private/bank-victoria.svg
